iter	Passed	Remaining
851	4957	861
852	4959	854
853	4962	848
854	4966	842
855	4975	837
856	4980	831
857	4983	824
858	4986	818
859	4988	812
860	4991	805
861	4996	799
862	4999	793
863	5002	787
864	5004	781
865	5007	774
866	5027	771
867	5030	765
868	5032	758
869	5035	752
870	5038	746
871	5043	740
872	5045	734
873	5048	727
874	5051	721
875	5054	715
876	5059	709
877	5062	703
878	5064	697
879	5067	690
880	5069	684
881	5074	678
882	5076	672
883	5078	666
884	5080	660
885	5082	653
886	5085	647
887	5089	641
888	5091	635
889	5109	631
890	5113	625
891	5116	619
892	5124	613
893	5129	608
894	5132	602
895	5138	596
896	5140	590
897	5143	584
898	5175	581
899	5188	576
900	5192	570
901	5202	565
902	5204	559
903	5207	552
904	5209	546
905	5211	540
906	5214	534
907	5220	528
908	5222	522
909	5225	516
910	5228	510
911	5234	505
912	5237	499
913	5239	492
914	5241	486
915	5243	480
916	5250	475
917	5253	469
918	5257	463
919	5262	457
920	5265	451
921	5267	445
922	5270	439
923	5272	433
924	5278	427
925	5281	422
926	5283	416
927	5286	410
928	5291	404
929	5294	398
930	5296	392
931	5298	386
932	5301	380
933	5303	374
934	5307	368
935	5310	363
936	5312	357
937	5314	351
938	5318	345
939	5322	339
940	5325	333
941	5327	328
942	5337	322
943	5340	316
944	5345	311
945	5347	305
946	5351	299
947	5355	293
948	5358	287
949	5361	282
950	5364	276
951	5370	270
952	5373	265
953	5377	259
954	5382	253
955	5386	247
956	5388	242
957	5394	236
958	5399	230
959	5402	225
960	5405	219
961	5407	213
962	5409	207
963	5414	202
964	5416	196
965	5420	190
966	5422	185
967	5424	179
968	5429	173
969	5431	167
970	5433	162
971	5436	156
972	5438	150
973	5440	145
974	5444	139
975	5447	133
976	5449	128
977	5452	122
978	5455	117
979	5459	111
980	5462	105
981	5464	100
982	5466	94
983	5468	88
984	5470	83
985	5475	77
986	5477	72
987	5481	66
988	5483	60
989	5485	55
990	5490	49
991	5493	44
992	5495	38
993	5497	33
994	5499	27
995	5501	22
996	5505	16
997	5508	11
998	5510	5
999	5512	0
